Trafico_Real,Trafico_Predicho,Error
2704.0,2453.645,250.35498046875
2704.0,2477.9128,226.087158203125
2204.0,2453.2385,-249.238525390625
2204.0,1994.6631,209.3369140625
1713.0,1965.5873,-252.5872802734375
1713.0,1668.5385,44.4615478515625
1068.0,1512.0084,-444.0084228515625
611.0,1024.4478,-413.44775390625
362.0,454.02878,-92.02877807617188
254.0,197.21811,56.781890869140625
254.0,178.94783,75.05216979980469
383.0,480.68655,-97.68655395507812
383.0,911.03156,-528.0315551757812
820.0,817.08563,2.91436767578125
820.0,1260.5925,-440.592529296875
2914.0,1487.5901,1426.409912109375
2914.0,4141.376,-1227.3759765625
5674.0,5020.8604,653.1396484375
5674.0,5879.881,-205.880859375
6258.0,5879.908,378.091796875
6258.0,6132.5073,125.49267578125
5995.0,5950.1606,44.83935546875
5995.0,5618.902,376.09814453125
5488.0,5542.856,-54.85595703125
4606.0,5230.215,-624.21484375
4910.0,4738.1753,171.82470703125
5066.0,4981.1313,84.86865234375
5255.0,5059.5693,195.4306640625
5428.0,5571.7563,-143.75634765625
5987.0,5788.225,198.77490234375
6775.0,6388.013,386.98681640625
6488.0,6317.431,170.56884765625
5048.0,5024.3813,23.61865234375
3335.0,3761.5598,-426.559814453125
2846.0,2987.9878,-141.98779296875
3094.0,2724.9448,369.05517578125
2412.0,2487.8748,-75.874755859375
1336.0,1910.6211,-574.62109375
768.0,999.8206,-231.82061767578125
432.0,522.9529,-90.952880859375
354.0,330.00748,23.992523193359375
444.0,413.70117,30.298828125
842.0,1029.259,-187.259033203125
2715.0,2721.828,-6.827880859375
5524.0,5667.612,-143.61181640625
6594.0,6459.971,134.02880859375
5784.0,6107.602,-323.60205078125
5086.0,5147.847,-61.84716796875
4663.0,4829.3193,-166.3193359375
4977.0,5021.895,-44.89501953125
5403.0,5249.5156,153.484375
5484.0,5467.509,16.4912109375
5564.0,5743.265,-179.26513671875
5860.0,5951.4683,-91.46826171875
5086.0,6357.044,-1271.0439453125
5086.0,4861.562,224.43798828125
5086.0,4471.3135,614.6865234375
5406.0,4551.8794,854.12060546875
5406.0,5124.6553,281.3447265625
5406.0,5502.1616,-96.16162109375
4317.0,5578.3564,-1261.3564453125
4317.0,3897.99,419.010009765625
4317.0,3854.4182,462.581787109375
3437.0,3822.4172,-385.417236328125
3437.0,3411.932,25.068115234375
2827.0,3402.5137,-575.513671875
2827.0,2940.2478,-113.247802734375
2656.0,2743.4211,-87.421142578125
2613.0,2600.796,12.2041015625
1676.0,2370.7732,-694.773193359375
1031.0,1409.4691,-378.4691162109375
658.0,674.2199,-16.21990966796875
470.00000000000006,464.67874,5.321258544921932
352.0,396.2843,-44.2843017578125
371.0,343.0212,27.978790283203125
680.0,539.3446,140.6553955078125
680.0,1274.6581,-594.6580810546875
1243.0,1314.9208,-71.9207763671875
1957.0,1694.2982,262.7017822265625
2790.0,2682.2942,107.705810546875
2790.0,3530.2578,-740.2578125
3489.0,3670.936,-181.93603515625
3489.0,3760.7688,-271.768798828125
3978.9999999999995,3733.0754,245.92456054687455
3978.9999999999995,4089.6897,-110.68969726562545
4563.0,4075.681,487.319091796875
4837.0,4554.757,282.2431640625
4837.0,4784.9385,52.0615234375
4836.0,4805.453,30.546875
4764.0,4745.5146,18.4853515625
4890.0,4649.689,240.31103515625
4894.0,4757.084,136.916015625
4794.0,4756.906,37.09423828125
4794.0,4659.1274,134.87255859375
4411.0,4700.25,-289.25
4411.0,4323.873,87.126953125
4411.0,4236.739,174.26123046875
3421.0,4168.559,-747.55908203125
3421.0,3298.793,122.20703125
2718.0,3315.0767,-597.07666015625
2718.0,2588.8848,129.115234375
3515.0,2467.7134,1047.28662109375
3515.0,2796.4724,718.527587890625
3865.0,2615.171,1249.8291015625
3865.0,3397.8162,467.183837890625
3865.0,3599.5112,265.48876953125
2042.0,3797.81,-1755.81005859375
2042.0,1703.3633,338.63671875
1554.0,1655.5543,-101.5543212890625
1554.0,1308.4934,245.506591796875
1554.0,1143.4257,410.5743408203125
629.0,1092.4589,-463.4588623046875
629.0,698.2594,-69.2593994140625
629.0,465.63684,163.3631591796875
629.0,475.5414,153.45858764648438
629.0,506.25125,122.74874877929688
361.0,602.95044,-241.950439453125
361.0,360.442,0.558013916015625
361.0,447.0942,-86.09420776367188
246.99999999999997,464.617,-217.61700439453128
246.99999999999997,277.41592,-30.415924072265653
287.0,383.41516,-96.4151611328125
287.0,467.51508,-180.51507568359375
287.0,546.9055,-259.905517578125
468.99999999999994,458.03088,10.969116210937443
468.99999999999994,547.82886,-78.82885742187506
468.99999999999994,881.6027,-412.6027221679688
823.0,1072.3945,-249.39453125
823.0,760.1406,62.859375
1209.0,1161.6929,47.30712890625
2059.0,1535.6064,523.3935546875
2974.0,2097.263,876.737060546875
3592.0,3248.1555,343.844482421875
4014.0000000000005,4228.524,-214.52392578124955
4256.0,4556.059,-300.05908203125
4309.0,4532.3115,-223.3115234375
4303.0,4456.922,-153.921875
4525.0,4378.5366,146.46337890625
4744.0,4545.1357,198.8642578125
4235.0,4696.245,-461.2451171875
3765.0000000000005,4180.033,-415.03320312499955
2888.0,3425.6196,-537.61962890625
2273.0,2247.8945,25.10546875
1912.0,1630.2076,281.7923583984375
1323.0,1285.5448,37.4552001953125
861.0,703.59875,157.4012451171875
468.99999999999994,445.11334,23.886657714843693
330.0,302.64575,27.354248046875
186.0,271.5794,-85.57940673828125
333.0,225.33414,107.66586303710938
809.0,1177.3263,-368.3262939453125
2853.0,2522.9094,330.090576171875
5836.0,5738.772,97.22802734375
6268.0,6342.1333,-74.13330078125
5990.0,5617.597,372.40283203125
4992.0,5019.1353,-27.13525390625
4298.0,4404.2637,-106.263671875
4488.0,4492.068,-4.06787109375
4677.0,4776.7925,-99.79248046875
4746.0,4797.9917,-51.99169921875
4987.0,5035.12,-48.1201171875
5657.0,5423.685,233.31494140625
6647.0,6230.16,416.83984375
6175.0,5986.343,188.6572265625
4152.0,4411.809,-259.80908203125
2919.0,3148.0508,-229.05078125
2263.0,2632.134,-369.134033203125
2009.0000000000002,2150.851,-141.85107421874977
1451.0,1722.429,-271.428955078125
961.0,1037.6278,-76.6278076171875
560.0,562.112,-2.11199951171875
339.0,374.43234,-35.432342529296875
244.0,189.02914,54.970855712890625
377.0,255.95068,121.04931640625
899.0,981.9844,-82.984375
3031.0,3296.9197,-265.919677734375
6100.0,6024.337,75.6630859375
6538.0,6480.0977,57.90234375
6091.0,5962.398,128.60205078125
5319.0,5144.372,174.6279296875
4518.0,4719.8745,-201.87451171875
4701.0,4767.2686,-66.2685546875
4866.0,4975.719,-109.71923828125
5101.0,4952.9175,148.08251953125
5273.0,5382.559,-109.55908203125
5747.0,5880.7104,-133.71044921875
6705.0,6467.1333,237.86669921875
6198.0,6335.3267,-137.32666015625
4421.0,4556.9717,-135.9716796875
3073.0,3371.7812,-298.78125
2581.0,2779.3347,-198.334716796875
2265.0,2453.4912,-188.4912109375
1631.0,1847.5402,-216.5401611328125
1073.0,1216.8187,-143.8187255859375
548.0,659.74835,-111.74835205078125
329.0,398.8808,-69.88079833984375
373.0,155.35876,217.6412353515625
898.0,686.03815,211.96185302734375
2985.0,2966.37,18.6298828125
6126.0,5719.473,406.52685546875
6513.0,6452.3784,60.62158203125
5926.0,5918.1597,7.84033203125
5670.0,5223.468,446.5322265625
4195.0,5027.6343,-832.63427734375
4553.0,4448.726,104.27392578125
4585.0,4762.182,-177.18212890625
4833.0,4544.8955,288.1044921875
5049.0,5095.7,-46.7001953125
