Fecha,Trafico_Pronosticado
2018-10-01 00:00:00,568.65765
2018-10-01 01:00:00,439.7466
2018-10-01 02:00:00,408.48203
2018-10-01 03:00:00,537.2392
2018-10-01 04:00:00,1045.4409
2018-10-01 05:00:00,1912.85
2018-10-01 06:00:00,2893.782
2018-10-01 07:00:00,3659.688
2018-10-01 08:00:00,3986.4297
2018-10-01 09:00:00,4139.5503
2018-10-01 10:00:00,4226.5596
2018-10-01 11:00:00,4249.3867
2018-10-01 12:00:00,4222.078
2018-10-01 13:00:00,4122.0894
2018-10-01 14:00:00,3902.515
2018-10-01 15:00:00,3541.2854
2018-10-01 16:00:00,3107.6426
2018-10-01 17:00:00,2723.5933
2018-10-01 18:00:00,2527.7095
2018-10-01 19:00:00,2222.741
2018-10-01 20:00:00,1718.6276
2018-10-01 21:00:00,1210.9696
2018-10-01 22:00:00,815.848
2018-10-01 23:00:00,545.2948
